Name,Category,Price,Quality
GalaxyEmpire,Aventura,31425,34
GalaxyGalaxy,Estrategia,55994,5
QuestEmpire,Estrategia,26468,72
EmpireQuest,Aventura,4823,0
LegendsGalaxy,Acción,24815,61
QuestGalaxy,Deportes,6153,12
QuestQuest,Simulación,9908,87
EmpireLegends,Estrategia,7080,100
LegendsDragon,Estrategia,15348,31
GalaxyDragon,Aventura,44618,17
QuestWarrior,Aventura,11053,29
WarriorLegends,Aventura,17820,92
EmpireDragon,RPG,43594,52
DragonDragon,Estrategia,9904,96
QuestEmpire,Deportes,26366,90
LegendsEmpire,Simulación,46283,56
GalaxyQuest,Simulación,62139,86
LegendsEmpire,RPG,68734,32
WarriorEmpire,Aventura,11201,19
QuestEmpire,Simulación,29210,35
LegendsGalaxy,Acción,55485,21
DragonDragon,Estrategia,49031,32
LegendsLegends,RPG,12055,42
QuestQuest,RPG,24595,88
DragonLegends,Aventura,2052,60
WarriorLegends,Estrategia,16056,51
GalaxyDragon,RPG,2996,20
DragonDragon,Acción,67902,78
WarriorWarrior,Estrategia,55348,36
DragonQuest,Estrategia,46678,6
DragonLegends,RPG,61005,99
EmpireGalaxy,RPG,8318,39
QuestQuest,Aventura,16286,14
WarriorQuest,RPG,49581,61
LegendsGalaxy,Estrategia,15912,98
DragonLegends,Deportes,31668,9
QuestEmpire,Deportes,21460,16
LegendsLegends,Simulación,51629,55
GalaxyGalaxy,Estrategia,46205,76
LegendsWarrior,Simulación,27473,64
QuestWarrior,Estrategia,41677,11
WarriorWarrior,RPG,30630,0
LegendsDragon,Aventura,43545,78
WarriorGalaxy,Acción,31633,25
QuestQuest,RPG,25827,9
WarriorDragon,Acción,5677,82
GalaxyDragon,Deportes,45080,23
GalaxyGalaxy,Simulación,31773,22
EmpireEmpire,Deportes,22227,50
GalaxyLegends,RPG,52494,61
EmpireGalaxy,Estrategia,64857,60
LegendsWarrior,Aventura,6865,31
GalaxyEmpire,Acción,33904,13
GalaxyQuest,Deportes,28641,98
EmpireGalaxy,Deportes,29003,12
DragonWarrior,Acción,27696,65
DragonGalaxy,Acción,9673,21
WarriorDragon,Aventura,6972,82
